Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T008_001,SE_T009_001,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006
"01","Alabama","Alabama","00","01",,4903185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02","Alaska","Alaska","00","02",,731545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,0,4,0,0,1.50366689677327,0.956878934310261,0,0.546787962463006,0,0
"04","Arizona","Arizona","00","04",,7278717,8326,1156,7170,114.388291233194,15.8819198493361,98.5063713838579,1156,31,51,0,64,1010,15.8819198493361,0.42589923471403,0.700672934529533,0,0.87927583940961,13.8760718406829,7170,1925,4437,808,98.5063713838579,26.4469686072422,60.9585453040694,11.1008574725463,59,0.810582414455735,212,143,36,30,3,5,2.91260121804433,1.96463195368085,0.494592659667906,0.412160549723255,0.0412160549723255,0.0686934249538758
"05","Arkansas","Arkansas","00","05",,3017804,15867,3661,12206,525.779672901222,121.313378867547,404.466294033675,3661,47,556,0,99,2959,121.313378867547,1.55742387510919,18.4239930757597,0,3.28053114118743,98.0514307754911,12206,3224,8760,1748,404.466294033675,106.832650496851,290.277300977797,57.9229134827842,144,4.77168165990899,9,8,0,1,0,0,0.298230103744312,0.2650934255505,0,0.0331366781938125,0,0
"06","California","California","00","06",,39512223,117628,25930,91698,297.700283783071,65.6252623397069,232.075021443365,25930,328,2018,0,4588,18996,65.6252623397069,0.83012287109232,5.10728034714726,0,11.611596745645,48.0762623758223,91698,24421,55374,11903,232.075021443365,61.8061909601998,140.143975194714,30.1248552884509,1108,2.80419555234845,977,524,208,235,10,40,2.47265257639389,1.32617190381822,0.5264193816683,0.594752666788705,0.0253086241186683,0.101234496474673
"08","Colorado","Colorado","00","08",,5758736,16945,2546,14399,294.248598998113,44.2110907671406,250.037508230973,2546,43,540,0,212,1751,44.2110907671406,0.746691635108816,9.37705774322699,0,3.68136341030393,30.4059779785008,14399,2735,9347,2317,250.037508230973,47.49306097727,162.30992356656,40.2345236871425,133,2.30953459231331,207,117,36,47,7,5,3.59453880157034,2.03169584436585,0.625137182881799,0.816151322095682,0.121554452227016,0.0868246087335832
"09","Connecticut","Connecticut","00","09",,3565287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,48,16,11,0,1,2.10361746473706,1.34631517743172,0.448771725810573,0.308530561494769,0,0.0280482328631608
"10","Delaware","Delaware","00","10",,973764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,10,4,7,0,1,2.15658003376588,1.02694287322185,0.410777149288739,0.718860011255294,0,0.102694287322185
"11","District of Columbia","District Of Columbia","00","11",,705749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,119,8,65,1,29,27.3468329391894,16.8615187552515,1.13354747934464,9.2100732696752,0.14169343491808,4.10910961262432
"12","Florida","Florida","00","12",,21477737,205802,34409,171393,958.21082081413,160.207753731224,798.003067082905,34409,444,4089,0,5568,24308,160.207753731224,2.06725689955138,19.0383186087063,0,25.9245189565363,113.17765926643,171393,27025,129580,14788,798.003067082905,125.827967816162,603.32240775646,68.8526915102834,444,2.06725689955138,111,48,36,27,0,0,0.516814224887845,0.223487232383933,0.16761542428795,0.125711568215962,0,0
