Geo_FIPS,Geo_Name,Geo_QName,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_A001_001,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_NV004_001,SE_NV004_002,SE_NV004_003,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,SE_T010_007,SE_T010_008,SE_T010_009,SE_T010_010,SE_T010_011,SE_T010_012,SE_T010_013,SE_T010_014,SE_T010_015,SE_T010_016,SE_T010_017,SE_T010_018,SE_T010_019,SE_T010_020,SE_T010_021,SE_T010_022,SE_T010_023,SE_T010_024,SE_T010_025,SE_T010_026,SE_T010_027,SE_T010_028,SE_T010_029,SE_T010_030,SE_T010_031,SE_T010_032,SE_T010_033,SE_T010_034,SE_T010_035,SE_T010_036,SE_T010_037,SE_T010_038,SE_T010_039,SE_T010_040,SE_T010_041,SE_T010_042,SE_T010_043,SE_NV009_001,SE_NV009_002,SE_NV009_003,SE_NV009_004,SE_NV009_005,SE_NV009_006,SE_NV009_007,SE_NV009_008,SE_NV009_009,SE_NV009_010,SE_NV009_011,SE_NV009_012,SE_NV009_013,SE_NV009_014,SE_NV009_015,SE_NV009_016,SE_NV009_017,SE_NV009_018,SE_NV009_019,SE_NV009_020,SE_NV009_021,SE_NV009_022,SE_NV009_023,SE_NV009_024,SE_NV009_025,SE_NV009_026,SE_NV009_027,SE_NV009_028,SE_NV009_029,SE_NV009_030,SE_NV009_031,SE_NV009_032,SE_NV009_033,SE_NV009_034,SE_NV009_035,SE_NV009_036,SE_NV009_037,SE_NV009_038,SE_NV009_039,SE_NV009_040,SE_NV009_041,SE_NV009_042,SE_NV009_043,SE_NV010_001,SE_NV010_002,SE_NV010_003,SE_NV010_004,SE_NV010_005,SE_NV010_006,SE_NV010_007,SE_NV010_008,SE_NV010_009,SE_NV010_010,SE_NV010_011,SE_NV010_012,SE_NV010_013,SE_NV010_014,SE_NV010_015,SE_NV010_016,SE_NV010_017,SE_NV010_018,SE_NV010_019,SE_NV010_020,SE_NV010_021,SE_NV010_022,SE_NV010_023,SE_NV010_024,SE_NV010_025,SE_NV010_026,SE_NV010_027,SE_NV010_028,SE_NV010_029,SE_NV010_030,SE_NV010_031,SE_NV010_032,SE_NV010_033,SE_NV010_034,SE_NV010_035,SE_NV010_036,SE_NV010_037,SE_NV010_038,SE_NV010_039,SE_NV010_040,SE_NV010_041,SE_NV010_042,SE_NV010_043
"01","Alabama","Alabama",4849377,169044,20100,148944,20100,270,1935,4584,13302,148944,38343,100795,9804,1086,17057,2236,14818,15584,2091,13494,1470,148,1324,76900,77,115,533,1503,1267,13184,311,48,9777,457,2096,205,842,582,656,0,142,2358,10,9,1,0,0,2334,292,1155,18,858,0,0,0,0,264,6236,1709,4528,1109,96,28791,0,0,0,73751,70,111,484,1417,1128,12022,297,42,9255,457,2081,205,775,515,615,0,111,2263,10,9,1,0,0,2241,277,1102,18,825,0,0,0,0,258,6221,1589,4489,956,96,28280,0,0,0,3149,7,3,46,82,132,1155,15,6,520,0,13,0,60,66,43,0,24,94,0,0,0,0,0,94,6,54,0,28,0,0,0,0,6,15,116,33,154,0,512,0,0,0
"02","Alaska","Alaska",719773,24873,4657,20216,4657,41,765,627,3224,20216,3136,15350,1730,115,5169,1601,3567,4414,1471,2942,753,129,624,26840,19,89,210,1280,295,2916,213,144,3242,81,191,62,25,750,227,36,258,1217,215,91,36,38,46,1001,163,628,70,137,0,0,0,0,188,2452,1281,132,760,0,10744,17,5,1,24906,18,79,188,1184,222,2407,187,126,3032,79,183,58,22,626,191,36,236,1013,202,85,30,38,45,811,153,479,69,105,0,0,0,0,186,2426,1018,115,732,0,10516,17,0,0,1934,1,10,22,96,71,508,25,18,208,2,8,4,3,122,35,0,22,204,13,6,6,0,1,190,10,146,1,32,0,0,0,0,2,26,262,15,28,0,227,0,5,1
"04","Arizona","Arizona",6731484,235920,25898,210022,25898,305,3176,6176,16240,210022,42578,150414,17028,1749,52447,9299,43148,45392,8446,36943,7056,851,6206,274359,185,311,1628,7174,4015,37287,1633,214,26552,1166,2132,156,1207,11141,2426,898,1684,30885,3827,819,1477,765,762,27027,2602,16385,3607,4433,6,0,0,6,2651,27944,14869,0,15533,303,78258,0,1495,2598,244449,173,264,1403,6605,3225,32225,1343,150,22814,1147,2074,151,1121,9033,2238,892,1384,27281,3364,782,1266,606,708,23901,2524,13693,3503,4184,6,0,0,6,2407,27709,12074,0,13874,258,74586,0,0,0,29911,12,47,224,567,792,5059,289,63,3739,19,57,5,85,2110,185,6,300,3602,461,37,211,159,52,3127,79,2692,105,248,0,0,0,0,244,230,2796,0,1663,45,3672,0,1495,2598
"05","Arkansas","Arkansas",2966369,106195,13434,92761,13434,166,1686,1897,9684,92761,23177,64361,5224,456,22068,4508,17560,19311,4132,15176,2761,375,2383,135769,96,276,652,3484,2445,14596,462,55,12024,836,1454,50,1300,1442,1008,235,138,12848,1794,158,820,177,637,10827,647,6572,666,2936,8,0,0,0,312,7891,2133,6770,2780,615,61299,0,232,308,126517,94,222,562,3249,2017,12737,371,47,10404,822,1424,49,1174,1155,896,233,109,12069,1705,157,769,166,611,10145,639,6005,652,2845,8,0,0,0,309,7821,1842,6676,2165,615,59435,0,0,0,9252,2,52,89,231,424,1860,91,6,1619,14,29,1,125,288,112,1,29,776,86,1,50,9,23,683,8,571,14,88,0,0,0,0,3,68,289,96,618,0,1868,0,232,308
"06","California","California",38802500,1098599,151564,947035,151564,1700,9399,48674,91791,947035,202633,592575,151827,7147,241127,106186,134941,214222,98279,115943,26903,7906,18997,1222353,1427,2447,14805,87503,48578,71523,13779,1055,78292,5228,6588,1049,17416,17209,24526,9157,9747,229402,31355,8173,9811,0,13371,198050,69421,9968,0,118705,285,0,0,285,316,155586,15859,90124,6333,8121,299654,0,3237,3083,1135711,1332,2172,12068,82706,41662,61104,12412,761,67934,5143,6361,1037,15961,12869,20807,8976,8541,220913,30039,8024,8837,0,13179,190872,68566,5348,0,116973,270,0,0,270,311,155058,13660,88572,3353,7948,283758,0,0,0,86640,95,275,2738,4798,6916,10419,1367,294,10356,85,227,12,1455,4340,3720,181,1206,8490,1315,149,974,0,192,7178,855,4619,0,1733,15,0,0,15,5,528,2197,1552,2980,173,15894,0,3237,3083
"08","Colorado","Colorado",5355866,150543,16320,134223,16320,148,3050,3025,10095,134223,23187,98544,12489,942,38909,6035,32870,32250,5474,26775,6657,561,6095,248756,132,472,935,4492,2727,28314,1592,228,17254,593,1986,92,319,5412,2195,350,532,13674,1817,765,391,29,626,11736,2300,5555,205,3669,13,0,0,0,3338,28563,12848,277,10003,562,106919,0,1630,3229,218142,118,418,818,4115,2247,23130,1289,104,15468,585,1896,86,291,4424,1856,348,378,10223,1657,744,303,21,581,8494,2243,2604,189,3448,12,0,0,0,3280,28311,10829,224,7707,562,99375,0,0,0,30610,14,53,117,377,480,5187,300,124,1784,8,89,6,25,986,338,2,153,3448,160,21,86,8,45,3242,57,2948,15,220,1,0,0,0,57,254,2021,52,2295,0,7540,0,1630,3229
"09","Connecticut","Connecticut",3596677,77901,8575,69326,8575,89,794,3172,4520,69326,12017,51195,6114,306,21255,4078,17177,18811,3555,15256,2444,523,1921,108624,94,241,1169,2574,2403,13909,581,284,18729,686,977,165,286,2049,1136,351,391,9972,2523,1426,677,96,324,7245,3646,2525,386,688,14,6,0,0,1402,8940,369,2,12150,26,29715,0,7,2,99126,89,208,953,2305,2090,12525,438,203,16337,671,945,164,250,1602,937,350,306,9239,2400,1401,599,94,306,6657,3600,2044,370,643,14,6,0,0,1361,8906,293,2,10414,26,28499,0,0,0,9498,5,33,216,269,313,1384,143,81,2392,15,32,1,36,447,199,1,85,733,123,25,78,2,18,588,46,481,16,45,0,0,0,0,41,34,77,0,1736,0,1217,0,7,2
"10","Delaware","Delaware",935614,32485,4569,27916,4569,50,390,1271,2857,27916,5766,20885,1265,203,10158,2148,8011,8877,1802,7076,1281,345,936,37287,21,78,544,1504,1047,6803,127,33,6847,272,1901,204,444,774,399,64,139,6197,1547,1008,349,67,123,4644,1560,2664,155,265,6,0,0,0,195,333,1343,478,1651,491,5322,0,65,0,33110,17,64,396,1325,855,6096,103,20,5738,268,1842,203,385,627,282,64,108,5739,1482,982,315,66,119,4252,1528,2333,151,239,5,0,0,0,194,330,1196,474,1345,491,4940,0,0,0,4175,4,14,148,179,192,707,24,13,1109,4,59,1,59,147,117,0,31,458,65,26,34,1,4,392,32,330,4,26,1,0,0,0,1,3,147,4,306,0,382,0,65,0
"11","District of Columbia","District of Columbia",658893,42346,8199,34147,8199,105,472,3497,4125,34147,3466,26898,3783,3,240,112,128,172,69,103,68,43,25,5712,0,1,65,46,0,119,8,1,202,12,3,0,14,38,92,0,0,389,19,3,5,1,10,370,36,183,24,127,0,0,0,0,0,10,532,64,76,92,3946,0,2,0,5380,0,1,31,37,0,97,5,1,171,9,2,0,10,32,61,0,0,366,18,3,5,0,10,348,35,167,23,123,0,0,0,0,0,10,528,64,61,92,3802,0,0,0,332,0,0,34,9,0,22,3,0,31,3,1,0,4,6,31,0,0,23,1,0,0,1,0,22,1,16,1,4,0,0,0,0,0,0,4,0,15,0,144,0,2,0
"12","Florida","Florida",19893297,673137,91065,582072,91065,981,7104,21576,61404,582072,120963,424998,36111,1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
