Geo_FIPS,Geo_Name,Geo_QName,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_A001_001
"01","Alabama","Alabama",4849377,169044,20100,148944,20100,270,1935,4584,13302,148944,38343,100795,9804,1086
"02","Alaska","Alaska",719773,24873,4657,20216,4657,41,765,627,3224,20216,3136,15350,1730,115
"04","Arizona","Arizona",6731484,235920,25898,210022,25898,305,3176,6176,16240,210022,42578,150414,17028,1749
"05","Arkansas","Arkansas",2966369,106195,13434,92761,13434,166,1686,1897,9684,92761,23177,64361,5224,456
"06","California","California",38802500,1098599,151564,947035,151564,1700,9399,48674,91791,947035,202633,592575,151827,7147
"08","Colorado","Colorado",5355866,150543,16320,134223,16320,148,3050,3025,10095,134223,23187,98544,12489,942
"09","Connecticut","Connecticut",3596677,77901,8575,69326,8575,89,794,3172,4520,69326,12017,51195,6114,306
"10","Delaware","Delaware",935614,32485,4569,27916,4569,50,390,1271,2857,27916,5766,20885,1265,203
"11","District of Columbia","District of Columbia",658893,42346,8199,34147,8199,105,472,3497,4125,34147,3466,26898,3783,3
"12","Florida","Florida",19893297,673137,91065,582072,91065,981,7104,21576,61404,582072,120963,424998,36111,1528
"13","Georgia","Georgia",10097343,378287,38044,340243,38044,602,2200,12783,22458,340243,78551,234069,27622,1088
"15","Hawaii","Hawaii",1419561,49310,3288,46022,3288,30,464,952,1842,46022,7470,33003,5549,292
"16","Idaho","Idaho",1634464,33845,3422,30423,3422,32,632,202,2553,30423,6462,22286,1675,227
"17","Illinois","Illinois",12880580,309878,46932,262946,46932,683,4173,15112,26965,262946,49515,195801,17626,2119
"18","Indiana","Indiana",6596855,179158,22149,157009,22149,312,1765,6652,13418,157009,33703,110549,12757,815
"19","Iowa","Iowa",3107126,72134,8299,63835,8299,59,1130,1041,6068,63835,14025,45743,4065,404
"20","Kansas","Kansas",2904021,86378,9815,76563,9815,91,1428,1313,6976,76563,15649,54236,6670,605
"21","Kentucky","Kentucky",4413457,108831,9460,99371,9460,147,1549,3320,4422,99371,23299,69726,6346,518
"22","Louisiana","Louisiana",4649676,180485,24172,156313,24172,467,1346,5625,16731,156313,37442,109485,9387,562
"23","Maine","Maine",1330089,28031,1604,26427,1604,21,390,304,889,26427,5035,20591,801,103
"24","Maryland","Maryland",5976407,177085,26387,150698,26387,364,1149,9640,15233,150698,28173,109384,13131,1003
"25","Massachusetts","Massachusetts",6745408,148953,26059,122894,26059,132,2010,5999,17916,122894,24411,90324,8162,481
"26","Michigan","Michigan",9909877,242735,42251,200484,42251,544,6258,8010,27437,200484,43997,135355,21129,1702
"27","Minnesota","Minnesota",5457173,137533,12485,125048,12485,88,1997,3683,6717,125048,20719,95977,8352,640
"28","Mississippi","Mississippi",2994079,64764,5482,59282,5482,181,551,1825,2923,59282,15584,40427,3270,514
"29","Missouri","Missouri",6063589,203233,26866,176367,26866,404,2401,5589,18468,176367,35283,124708,16370,1404
"30","Montana","Montana",1023579,28319,3260,25059,3260,38,522,200,2500,25059,3565,19473,2021,132
"31","Nebraska","Nebraska",1881503,51091,4922,46169,4922,52,694,1037,3140,46169,7660,34051,4454,163
"32","Nevada","Nevada",2839099,92536,18031,74505,18031,170,1354,5953,10554,74505,21903,42423,10179,332
"33","New Hampshire","New Hampshire",1326813,27154,2496,24658,2496,16,553,526,1401,24658,3958,19884,814,180
"34","New Jersey","New Jersey",8938175,177916,22992,154924,22992,352,951,10501,11185,154924,31702,111516,11702,662
"35","New Mexico","New Mexico",2085572,85229,11955,73274,11955,98,1065,2075,8710,73274,18312,48713,6249,411
"36","New York","New York",19746227,414346,75865,338481,75865,617,5967,24020,45256,338481,50640,272098,15735,1086
"37","North Carolina","North Carolina",9943964,309947,31334,278613,31334,498,1712,8232,20887,278613,77573,187755,13281,1544
"38","North Dakota","North Dakota",739482,17839,1998,15841,1998,23,382,175,1418,15841,2747,11551,1542,204
"39","Ohio","Ohio",11594163,322265,31349,290916,31349,446,4736,12278,13868,290916,74712,198835,17372,2189
"40","Oklahoma","Oklahoma",3878051,133523,16049,117474,16049,180,1860,3073,10935,117474,29969,76744,10761,803
"41","Oregon","Oregon",3970239,126031,9381,116650,9381,79,1220,2197,5883,116650,17376,89578,9694,819
"42","Pennsylvania","Pennsylvania",12787209,286777,40247,246530,40247,610,3837,13535,22265,246530,45647,187844,13039,1923
"44","Rhode Island","Rhode Island",1055173,25301,2319,22982,2319,26,366,530,1398,22982,4830,16316,1836,158
"45","South Carolina","South Carolina",4832482,190802,23873,166929,23873,323,2174,3988,17386,166929,36905,117140,12877,686
