Geo_FIPS,Geo_Name,Geo_QName,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_A001_001,SE_A002_001,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_NV004_001,SE_NV004_002,SE_NV004_003,SE_T009_001,SE_T009_002,SE_T009_003,SE_NV001_001,SE_NV001_002,SE_NV001_003,SE_NV002_001,SE_NV002_002,SE_NV002_003
"01","Alabama","Alabama",4849377,169044,20100,148944,3485.89107425552,414.486231942784,3071.40484231273,20100,270,1935,4584,13302,414.486231942784,5.56772550370903,39.9020327765814,94.5276063296378,274.303276482732,148944,38343,100795,9804,3071.40484231273,790.678885143391,2078.51441535686,202.170299401346,1086,22.3946292482519,17057,2236,14818,15584,2091,13494,1470,148,1324,351.735903395426,46.1090156529385,305.565024125779,321.360867591858,43.1189408453911,278.262547952036,30.3131721868603,3.05193842425532,27.3024761737436
"02","Alaska","Alaska",719773,24873,4657,20216,3455.67283018396,647.009543286564,2808.6632868974,4657,41,765,627,3224,647.009543286564,5.6962403424413,106.283508828478,87.1107974319681,447.918996683677,20216,3136,15350,1730,2808.6632868974,435.69291985112,2132.61681113351,240.353555912767,115,15.9772594970914,5169,1601,3567,4414,1471,2942,753,129,624,718.143081221441,222.431238737769,495.572909792393,613.248899305753,204.369988871491,408.739977742983,104.616316533129,17.9223171749982,86.693999358131
"04","Arizona","Arizona",6731484,235920,25898,210022,3504.72496109327,384.729429647311,3119.99553144596,25898,305,3176,6176,16240,384.729429647311,4.53094741070468,47.1812753324527,91.7479711754496,241.254380163423,210022,42578,150414,17028,3119.99553144596,632.520258534374,2234.48499617618,252.96056560485,1749,25.9823836764672,52447,9299,43148,45392,8446,36943,7056,851,6206,779.129832292552,138.141901548009,640.987930744543,674.323819235105,125.470104363317,548.809148175945,104.820868622729,12.6420860541301,92.1936381338795
"05","Arkansas","Arkansas",2966369,106195,13434,92761,3579.96594489762,452.876901019394,3127.08904387822,13434,166,1686,1897,9684,452.876901019394,5.59606711100338,56.8371635491067,63.9502368046592,326.459722306969,92761,23177,64361,5224,3127.08904387822,781.325586938105,2169.68961042945,176.107557758323,456,15.372328931431,22068,4508,17560,19311,4132,15176,2761,375,2383,743.939813286884,151.970304436164,591.96950885072,650.997903497508,139.294875317265,511.601894437273,93.0767547800021,12.6417178712426,80.3339031657896
"06","California","California",38802500,1098599,151564,947035,2831.25829521294,390.603698215321,2440.65459699762,151564,1700,9399,48674,91791,390.603698215321,4.38116100766703,24.2226660653308,125.440371110109,236.559500032214,947035,202633,592575,151827,2440.65459699762,522.216352039173,1527.1567553637,391.281489594743,7147,18.418916306939,241127,106186,134941,214222,98279,115943,26903,7906,18997,621.421300173958,273.657625153019,347.763675020939,552.082984343792,253.280072160299,298.802912183493,69.3331615230977,20.3749758391856,48.9581856839121
"08","Colorado","Colorado",5355866,150543,16320,134223,2810.80594622793,304.712627238994,2506.09331898894,16320,148,3050,3025,10095,304.712627238994,2.76332529603989,56.94690643866,56.4801285170316,188.484924753532,134223,23187,98544,12489,2506.09331898894,432.927186751872,1839.92654035781,233.183578528664,942,17.5881920869566,38909,6035,32870,32250,5474,26775,6657,561,6095,726.474486105515,112.680190281086,613.719611356968,602.143518900585,102.205693719746,499.919154063974,124.2936249712,10.4744965613404,113.800457292994
"09","Connecticut","Connecticut",3596677,77901,8575,69326,2165.91592739632,238.414514286382,1927.50141310993,8575,89,794,3172,4520,238.414514286382,2.4745063290365,22.0759328680335,88.1925177045367,125.671557384775,69326,12017,51195,6114,1927.50141310993,334.113961303726,1423.39720803397,169.990243772238,306,8.50785322118166,21255,4078,17177,18811,3555,15256,2444,523,1921,590.962157569334,113.38243606529,477.579721504044,523.010545567478,98.8412359519634,424.169309615515,67.9516120018562,14.5412001133268,53.4104118885293
"10","Delaware","Delaware",935614,32485,4569,27916,3472.05150842121,488.34241471376,2983.70909370745,4569,50,390,1271,2857,488.34241471376,5.34408420566601,41.6838568041949,135.84662050803,305.360971511756,27916,5766,20885,1265,2983.70909370745,616.279790597404,2232.22397270669,135.20533040335,203,21.696981875004,10158,2148,8011,8877,1802,7076,1281,345,936,1085.70414722311,229.581857475412,856.229171431808,948.788709873944,192.600794772203,756.294796785854,136.915437349163,36.8741810190955,100.041256330068
"11","District of Columbia","District of Columbia",658893,42346,8199,34147,6426.84016979995,1244.35985812567,5182.48031167428,8199,105,472,3497,4125,1244.35985812567,15.9358196247342,71.6353034559481,530.738678359005,626.050056685987,34147,3466,26898,3783,5182.48031167428,526.033817326941,4082.30167872477,574.144815622567,3,0.455309132135263,240,112,128,172,69,103,68,43,25,36.4247305708211,16.9982075997165,19.4265229711046,26.1043902424218,10.4721100391111,15.6322802033107,10.3203403283993,6.52609756060544,3.79424276779386
"12","Florida","Florida",19893297,673137,91065,582072,3383.73774844864,457.767256981083,2925.97049146755,91065,981,7104,21576,61404,457.767256981083,4.93130927467679,35.7105209860387,108.458643129894,308.666783590473,582072,120963,424998,36111,2925.97049146755,608.059086434994,2136.38795017236,181.523454860197,1528,7.68097917605111,,,,,,,,,,,,,,,,,,
